filename,text
train/b_car_010709.png,395.000
train/b_car_003356.png,50.000
train/b_car_011228.png,98.486.
train/b_car_003866.png,369.234.-
train/b_car_006364.png,180.991.-
train/b_car_010674.png,500.000
train/a_car_002133.png,70.117
train/a_car_001194.png,2400г
train/b_car_004328.png,270.000.-
train/a_car_001339.png,63.217
train/a_car_008899.png,109
train/b_car_004710.png,73 7000
train/b_car_010014.png,265. 420.
train/b_car_011623.png,415.649
train/a_car_008864.png,218
train/b_car_004131.png,40.000
train/b_car_004871.png,50.000 =
train/b_car_010858.png,30.000
train/b_car_006153.png,255 .000-
train/a_car_007872.png,1616
train/b_car_005805.png,268.560.
train/b_car_012381.png,180.000
train/b_car_004177.png,77.902.
train/a_car_009837.png,12.731
train/a_car_007272.png,2860 524
train/a_car_007725.png,5907
train/a_car_008842.png,32.939 -
train/a_car_008690.png,38.676
train/a_car_000716.png,17.146
train/b_car_006033.png,135.000-
train/a_car_010745.png,467.-
train/b_car_010587.png,32.250
train/b_car_011593.png,35.105
train/b_car_003879.png,300.000.
train/a_car_007568.png,592
train/a_car_007228.png,186.677
train/a_car_001714.png,5000
train/b_car_011375.png,61.882
train/a_car_010468.png,36789
train/a_car_009133.png,77000-.
train/b_car_005919.png,200.000.
train/b_car_005640.png,344.050.-
train/b_car_011643.png,119.989.
train/b_car_011695.png,"483.196,"
train/b_car_005866.png,388.892
train/a_car_000521.png,7885
train/b_car_005228.png,100.000.
train/b_car_010590.png,200.000
train/a_car_007501.png,71.344
train/a_car_001789.png,798.=
train/a_car_008657.png,1.528=
train/b_car_010719.png,124950
train/b_car_011204.png,371.434
train/b_car_010715.png,357.499
train/b_car_010705.png,29750
train/a_car_008379.png,2350
train/b_car_012480.png,70.000.
train/a_car_000786.png,7505
train/b_car_004874.png,22.000.
train/a_car_000701.png,4715
train/a_car_002184.png,2.087
train/a_car_010089.png,6.998
train/b_car_010366.png,96.000
train/a_car_009250.png,29.503
train/b_car_003943.png,5666/6
train/b_car_010490.png,20.000
train/b_car_011922.png,184.000
train/a_car_007378.png,500
train/a_car_009754.png,56.241
train/b_car_011550.png,120.000
train/b_car_010545.png,411.565
train/a_car_007077.png,3500
train/a_car_009207.png,250000.
train/b_car_005294.png,22.000
train/a_car_010685.png,40000
train/b_car_004829.png,7.000
train/a_car_010206.png,5339
train/a_car_007180.png,4.785
train/a_car_009534.png,20000
train/a_car_008043.png,10.000
train/a_car_000965.png,13.543
train/a_car_008845.png,34.550
train/b_car_003225.png,278.695.-
train/b_car_011983.png,14400
train/b_car_012025.png,"67,711"
train/a_car_007254.png,6.050
train/b_car_011970.png,270.000.
train/b_car_003413.png,156766
train/b_car_011868.png,30.000.
train/b_car_010429.png,442.379
train/a_car_008297.png,13000
train/a_car_007020.png,2.650
train/b_car_003153.png,180.730.-
train/a_car_010094.png,760350
train/a_car_008350.png,3234.54
train/b_car_005495.png,255 000
train/a_car_008062.png,10.1485
train/b_car_011225.png,130.000.
train/b_car_012437.png,16.000
train/b_car_011462.png,300.000.
